claim_id,claim_date,sale_id,repair_status
CL-6524,18/06/2024,UV-7022,Rejected
CL-53575,11/05/2024,JK-683660,Completed
CL-14268,22/03/2024,JY-576850,Completed
CL-73443,29/04/2024,YF-4837,In Progress
CL-49883,13/06/2024,BQ-880657,Pending
CL-84737,10/08/2024,KT-69841,Pending
CL-3218,16/01/2024,VV-767827,In Progress
CL-50405,17/01/2024,IO-1904,Rejected
CL-57662,01/09/2024,DG-183369,Completed
CL-8058,18/09/2024,TN-78052,Rejected
CL-25340,03/04/2024,GB-488519,In Progress
CL-61785,05/07/2024,LB-17602,In Progress
CL-40517,31/05/2024,WR-243901,Rejected
CL-1812,22/02/2024,WY-192032,Rejected
CL-4564,24/09/2024,SH-6365,Completed
CL-73600,06/07/2024,HE-35311,Pending
CL-35321,21/05/2024,FC-45009,Pending
CL-96296,07/04/2024,RH-38253,Rejected
CL-23197,08/01/2024,SE-09386,Rejected
CL-83081,22/10/2024,AW-4646,Rejected
CL-3575,10/08/2024,ZZ-561286,Pending
CL-39395,25/10/2024,ZZ-98411,Completed
CL-28566,30/07/2024,AJ-69063,Pending
CL-710,31/05/2024,XV-90891,Completed
CL-17296,30/10/2024,TF-94175,Completed
CL-59379,23/10/2024,WX-223461,Completed
CL-51734,01/03/2024,QC-240686,Completed
CL-961,18/08/2024,HO-241059,Pending
CL-7527,06/02/2024,IX-372870,Pending
CL-96878,03/05/2024,DL-474435,In Progress
CL-71207,06/05/2024,LK-0987,In Progress
CL-31991,24/09/2024,CN-27238,Rejected
CL-564,18/02/2024,CY-799721,Pending
CL-66264,21/04/2024,AS-09831,Rejected
CL-33421,31/03/2024,HG-95110,In Progress
CL-74804,02/04/2024,SU-473383,In Progress
CL-50887,04/09/2024,LS-57758,Pending
CL-9635,26/09/2024,NC-215597,In Progress
CL-4427,12/03/2024,KO-54496,Pending
CL-6695,23/01/2024,ER-49949,Rejected
CL-29652,30/09/2024,RK-4251,Rejected
CL-49673,16/10/2024,LG-4505,Pending
CL-66256,29/04/2024,RD-758696,Rejected
CL-26778,07/08/2024,WI-5055,In Progress
CL-26033,03/09/2024,QR-134549,Completed
CL-2001,04/09/2024,ZQ-783528,Completed
CL-39966,27/05/2024,KN-78711,Rejected
CL-65265,02/11/2024,MQ-125099,Pending
CL-79062,20/06/2024,LG-464493,Pending
CL-67938,28/08/2024,EN-852565,Rejected
CL-41107,05/02/2024,AQ-5248,Pending
CL-55500,08/02/2024,DG-687926,Completed
CL-4583,29/07/2024,AH-2631,Pending
CL-88527,14/08/2024,TH-49294,In Progress
CL-6766,14/06/2024,VU-0882,Completed
CL-27436,23/01/2024,HS-355291,In Progress
CL-15355,25/03/2024,IT-16034,Completed
CL-92268,26/04/2024,GN-4433,Completed
CL-6952,24/05/2024,IY-238906,In Progress
CL-26254,02/01/2024,VP-327181,In Progress
CL-16876,01/02/2024,TY-9224,Completed
CL-91407,11/02/2024,XG-8174,In Progress
CL-9269,21/02/2024,RG-0326,Completed
CL-5992,14/08/2024,TG-0822,Pending
CL-88035,15/01/2024,CJ-922471,Pending
CL-51886,12/06/2024,NR-04791,Pending
CL-28295,21/09/2024,KG-09039,In Progress
CL-6248,19/04/2024,BU-698705,Completed
CL-28716,03/04/2024,QV-27908,Rejected
CL-49774,25/09/2024,JR-161894,In Progress
CL-9035,24/04/2024,IP-49195,Pending
CL-79873,23/10/2024,BE-37533,In Progress
CL-90695,29/01/2024,PB-36366,Completed
CL-22107,23/10/2024,PU-4596,Rejected
CL-88234,13/07/2024,XQ-8740,Pending
CL-25137,08/08/2024,KO-368944,In Progress
CL-29290,27/07/2024,TT-054407,Rejected
CL-8952,18/10/2024,BV-57390,Rejected
CL-41810,25/03/2024,FH-80703,Rejected
CL-93302,29/04/2024,WB-6387,Pending
CL-39317,10/09/2024,TP-606068,Pending
CL-8638,09/03/2024,RD-98907,Pending
CL-5036,03/10/2024,ZY-586488,Completed
CL-76218,17/07/2024,HH-66761,In Progress
CL-17457,29/07/2024,BT-072394,Completed
CL-4300,15/03/2024,WN-659545,In Progress
CL-47274,16/07/2024,BH-4375,Pending
CL-75060,08/10/2024,WN-2693,Completed
CL-97784,07/06/2024,TI-9656,Pending
CL-37018,05/06/2024,TN-895967,Completed
CL-86257,12/03/2024,GS-86111,Completed
CL-1055,21/04/2024,KV-33288,Pending
CL-68769,11/07/2024,PX-085809,In Progress
CL-27456,06/06/2024,NS-179638,Completed
CL-85973,08/07/2024,CV-5243,In Progress
CL-46562,19/01/2024,JI-4021,In Progress
CL-1609,26/05/2024,RU-11749,Completed
CL-1293,02/07/2024,DK-320833,Pending
CL-685,05/06/2024,PZ-0994,Rejected
CL-61191,12/10/2024,JN-72747,In Progress
CL-75987,29/07/2024,LH-9179,Completed
CL-8829,03/03/2024,PM-2386,Rejected
CL-24668,22/02/2024,JC-12525,Pending
CL-98628,06/03/2024,VA-629786,Completed
CL-14641,19/10/2024,ZS-6565,In Progress
CL-3674,05/08/2024,KP-73659,Rejected
CL-17936,14/03/2024,OR-5565,Rejected
CL-7297,08/11/2024,JV-6697,Rejected
CL-64836,09/04/2024,VU-936748,Pending
CL-81103,12/01/2024,LC-0200,Pending
CL-7821,21/04/2024,LB-90067,Completed
CL-41367,29/04/2024,BY-6973,Rejected
CL-72262,02/10/2024,JW-090556,Rejected
CL-1506,23/02/2024,WQ-38884,Completed
CL-3219,02/06/2024,JS-891906,Rejected
CL-22069,11/11/2024,IB-1522,Rejected
CL-5902,22/01/2024,TE-69925,In Progress
CL-79456,15/02/2024,OG-5157,Rejected
CL-63454,13/09/2024,GX-762341,In Progress
CL-8257,20/04/2024,BD-03305,Rejected
CL-9599,30/03/2024,AC-951903,Rejected
CL-98580,23/05/2024,HL-595810,Rejected
CL-5692,05/10/2024,PW-0009,Completed
CL-56665,16/10/2024,EM-50932,Pending
CL-8985,29/05/2024,IM-404758,Completed
CL-23414,18/05/2024,JU-894929,In Progress
CL-69946,26/02/2024,LC-7224,In Progress
CL-23286,12/01/2024,DQ-8915,Completed
CL-83690,18/06/2024,TB-8793,In Progress
CL-51514,07/03/2024,UD-24594,In Progress
CL-919,10/06/2024,XG-283245,In Progress
CL-42995,11/01/2024,JC-59316,In Progress
CL-24347,20/03/2024,XB-347401,Pending
CL-393,10/08/2024,TH-36165,Completed
CL-9287,28/04/2024,EZ-871828,Pending
CL-2847,21/02/2024,FR-798184,Rejected
CL-87261,24/05/2024,OW-3482,Pending
CL-45821,21/05/2024,PT-212592,Rejected
CL-9413,07/08/2024,TP-9119,Pending
CL-27966,06/05/2024,CO-027146,Completed
CL-33632,08/03/2024,LU-73502,In Progress
CL-8501,20/08/2024,OR-515757,Completed
CL-52713,28/10/2024,ZE-267205,In Progress
CL-97999,30/05/2024,GC-801559,In Progress
CL-9109,03/08/2024,EH-432112,Rejected
CL-58146,12/04/2024,CC-9148,In Progress
CL-36962,04/04/2024,CE-8911,In Progress
CL-62057,13/08/2024,TG-8642,Completed
CL-2567,25/08/2024,HA-078709,Completed
CL-76617,05/03/2024,AW-16505,Pending
CL-38227,30/07/2024,CK-53125,Pending
CL-73749,12/05/2024,GF-89200,Completed
CL-13386,03/05/2024,MC-092013,In Progress
CL-90975,01/05/2024,AE-922857,Pending
CL-21256,01/09/2024,KQ-87778,Rejected
CL-49976,11/03/2024,EB-046224,Pending
CL-51825,14/01/2024,RM-81603,Rejected
CL-33717,13/03/2024,PX-36970,In Progress
CL-26237,15/06/2024,XW-65355,In Progress
CL-69158,07/09/2024,CN-090119,Rejected
CL-41293,20/09/2024,PW-7170,Rejected
CL-19280,06/04/2024,GJ-68756,Pending
CL-84777,29/07/2024,MW-01128,In Progress
CL-535,03/06/2024,FO-516310,Rejected
CL-98998,26/07/2024,RL-22013,In Progress
CL-54733,08/04/2024,XS-40026,Pending
CL-73519,17/08/2024,IG-698723,Completed
CL-8860,18/08/2024,GL-12131,Pending
CL-21740,28/01/2024,GM-720624,Completed
CL-69638,02/10/2024,YT-6252,In Progress
CL-71614,13/01/2024,QI-121888,In Progress
CL-88371,03/09/2024,WH-88961,Completed
CL-8814,05/01/2024,ZK-52198,Completed
CL-48166,22/02/2024,YL-143047,Pending
CL-67004,24/08/2024,LZ-19273,Completed
CL-79339,12/09/2024,JY-7233,Completed
CL-68543,24/01/2024,MQ-57845,Rejected
CL-36203,24/05/2024,BL-2785,In Progress
CL-91329,17/05/2024,JY-52922,Rejected
CL-68509,30/09/2024,QU-1198,Completed
CL-56329,22/01/2024,UP-157299,Rejected
CL-8549,06/02/2024,YW-448639,Pending
CL-39744,31/05/2024,LY-0648,Rejected
CL-1029,16/02/2024,SJ-718256,In Progress
CL-40983,18/05/2024,FN-99245,In Progress
CL-96282,24/03/2024,LN-916656,Pending
CL-6414,21/01/2024,MT-230959,In Progress
CL-17096,06/01/2024,NZ-6755,In Progress
CL-89440,01/08/2024,OE-770610,Rejected
CL-6068,09/01/2024,GF-7553,In Progress
CL-8298,11/07/2024,CM-499270,In Progress
CL-24183,27/08/2024,HE-54237,In Progress
CL-21193,28/02/2024,MH-023055,In Progress
CL-16045,21/06/2024,LW-437767,In Progress
CL-26262,23/07/2024,FX-577562,Rejected
CL-8191,26/01/2024,GE-91003,In Progress
CL-2901,07/08/2024,ST-280341,Completed
CL-22162,15/10/2024,MW-20879,Pending
CL-98904,05/02/2024,RT-395227,In Progress
CL-1794,20/02/2024,YQ-01104,Completed
CL-21415,06/06/2024,TD-556388,In Progress
CL-20043,02/11/2024,LW-027207,Rejected
CL-75130,06/07/2024,PE-3574,Pending
CL-42916,10/09/2024,EY-859684,Rejected
CL-72102,25/05/2024,PN-904435,Completed
CL-36208,23/08/2024,GL-80813,Completed
CL-41575,11/05/2024,PB-37211,Rejected
CL-17265,16/07/2024,UC-17376,Pending
CL-62085,25/07/2024,ZC-2991,In Progress
CL-4128,24/01/2024,DH-71094,Completed
CL-5482,17/03/2024,EB-56311,Pending
CL-15071,15/05/2024,KM-326534,Pending
CL-1484,27/03/2024,SS-7612,In Progress
CL-10615,18/06/2024,OO-35271,In Progress
CL-11837,20/01/2024,UO-55112,Completed
CL-28345,25/08/2024,OY-1970,Completed
CL-35883,12/03/2024,SQ-183371,Completed
CL-3446,30/01/2024,YN-7778,Completed
CL-72016,01/07/2024,YH-97225,In Progress
CL-4741,12/08/2024,AU-5119,In Progress
CL-27821,01/07/2024,FE-0915,Pending
CL-98789,26/02/2024,VY-101842,Completed
CL-41561,19/09/2024,OE-5333,Pending
CL-6571,29/06/2024,KH-48512,Pending
CL-6743,28/09/2024,LD-2524,Rejected
CL-71017,18/10/2024,XT-96168,In Progress
CL-3864,15/10/2024,TV-9720,Rejected
CL-67054,07/02/2024,EY-33903,In Progress
CL-60438,29/10/2024,GN-973551,Completed
CL-63616,01/01/2024,SR-393662,In Progress
CL-8404,14/09/2024,BA-47608,Rejected
CL-47846,29/05/2024,CQ-645946,Completed
CL-84723,09/03/2024,ZM-466203,In Progress
CL-81111,24/04/2024,RG-336222,Rejected
CL-2443,27/06/2024,BZ-823396,Pending
CL-98527,03/02/2024,KT-21575,In Progress
CL-12284,07/06/2024,IC-731650,Completed
CL-5516,03/11/2024,HI-499946,Completed
CL-96482,06/09/2024,DO-18372,Completed
CL-91276,13/05/2024,FH-60433,Rejected
CL-74331,15/04/2024,ER-66039,Pending
CL-47491,05/08/2024,WU-1382,In Progress
CL-76339,06/03/2024,IF-39721,In Progress
CL-87750,11/09/2024,GT-674603,Completed
CL-9512,09/09/2024,OU-6679,Rejected
CL-4691,30/08/2024,DH-3672,Rejected
CL-74678,12/01/2024,XH-7921,Pending
CL-5828,05/02/2024,BL-2757,Completed
CL-7138,24/09/2024,CB-74309,Completed
CL-5989,27/07/2024,GS-7836,Pending
CL-34705,02/05/2024,YC-501032,Rejected
CL-3964,09/01/2024,ZY-40597,Rejected
CL-2294,14/10/2024,XB-78686,In Progress
CL-20795,13/05/2024,XI-344463,Pending
CL-8958,18/01/2024,AD-4722,In Progress
CL-94062,02/08/2024,LR-6820,Pending
CL-28317,05/02/2024,BR-4285,Pending
CL-58217,17/08/2024,VV-004928,Pending
CL-31817,22/01/2024,OZ-008148,In Progress
CL-56118,26/07/2024,ZF-6452,In Progress
CL-68612,13/07/2024,AJ-7232,Rejected
CL-82495,19/09/2024,QW-166439,Pending
CL-74585,27/02/2024,QX-30267,Rejected
CL-70746,19/05/2024,TG-61936,Pending
CL-8957,01/02/2024,GG-8280,Pending
CL-94032,03/09/2024,OA-5037,Pending
CL-3058,29/10/2024,ZO-9616,Rejected
CL-8743,27/06/2024,OT-1011,Pending
CL-65618,16/02/2024,YX-42510,In Progress
CL-9817,26/09/2024,DU-865809,In Progress
CL-6547,29/04/2024,NW-5535,Completed
CL-32596,23/03/2024,YW-87756,Rejected
CL-6973,03/08/2024,SQ-562707,Rejected
CL-5585,25/03/2024,LZ-311220,In Progress
CL-13914,22/01/2024,UM-84500,Completed
CL-32895,30/10/2024,XB-04028,In Progress
CL-7404,02/01/2024,TP-905984,Rejected
CL-30162,03/06/2024,JA-9184,Pending
CL-71394,08/08/2024,UQ-33370,Pending
CL-34914,03/07/2024,AF-26249,Pending
CL-60909,19/04/2024,GS-068921,In Progress
CL-59065,25/03/2024,IK-11215,Pending
CL-59417,21/08/2024,WH-9016,Completed
CL-9520,08/04/2024,VG-0285,Pending
CL-50146,10/01/2024,PX-118008,In Progress
CL-6107,01/08/2024,EN-2152,Rejected
CL-44322,27/08/2024,CG-31971,Rejected
CL-97551,09/05/2024,KT-60627,In Progress
CL-71607,03/09/2024,QU-416163,Completed
CL-35205,23/01/2024,JK-65815,In Progress
CL-57832,12/01/2024,XB-4831,Completed
CL-17320,13/04/2024,ME-88035,Rejected
CL-97259,06/10/2024,WF-69261,Completed
CL-10198,26/08/2024,EJ-171979,In Progress
CL-516,24/07/2024,UJ-721814,Pending
CL-2282,26/04/2024,TM-1052,Completed
CL-1889,31/03/2024,EJ-09491,Pending
CL-98511,08/04/2024,EQ-279154,Pending
CL-6470,24/08/2024,XK-5157,Pending
CL-76257,16/08/2024,LL-0684,Rejected
CL-62543,18/07/2024,GS-1098,In Progress
CL-13372,27/07/2024,RW-748927,Rejected
CL-65680,09/06/2024,BO-081998,Completed
CL-399,01/02/2024,TT-727588,Pending
CL-94168,28/01/2024,PY-93767,Completed
CL-50877,12/04/2024,SA-60856,Completed
CL-94836,19/10/2024,QR-78393,In Progress
CL-98852,09/10/2024,SF-3714,Completed
CL-20237,20/01/2024,VC-754499,Pending
CL-76547,18/04/2024,BU-64659,Completed
CL-9299,08/10/2024,LU-8063,Pending
CL-37816,10/05/2024,CR-713931,Rejected
CL-64417,01/02/2024,CH-7009,Completed
CL-89579,06/08/2024,QN-6064,Rejected
CL-88259,14/04/2024,SP-91916,In Progress
CL-9448,19/07/2024,WF-63421,Pending
CL-72861,21/09/2024,WH-768592,Rejected
CL-53704,03/09/2024,CX-6975,Completed
CL-9289,06/05/2024,JC-31870,Rejected
CL-71992,18/03/2024,MF-0954,In Progress
CL-6643,18/01/2024,KQ-157617,In Progress
CL-60812,09/06/2024,MR-08726,In Progress
CL-92696,11/02/2024,YX-14389,Completed
CL-49784,02/10/2024,AT-16127,Completed
CL-40994,08/01/2024,IF-44037,Rejected
CL-2793,19/03/2024,CN-382381,In Progress
CL-15073,17/03/2024,IR-556144,Pending
CL-86302,21/10/2024,PT-143411,Pending
CL-42799,18/04/2024,LT-3047,Rejected
CL-88946,02/02/2024,PK-516995,Pending
CL-39806,06/05/2024,PG-0186,Pending
CL-9517,10/05/2024,WS-460092,Rejected
CL-54745,08/06/2024,QO-1965,Completed
CL-85890,25/05/2024,BR-5445,Rejected
CL-51124,02/06/2024,IF-573396,Pending
CL-13264,01/06/2024,DB-50046,Pending
CL-60413,01/05/2024,YQ-25380,Completed
CL-71711,23/08/2024,TZ-40933,Rejected
CL-75152,22/01/2024,HC-85533,Completed
CL-7300,22/08/2024,WE-4834,Pending
CL-83676,11/08/2024,JQ-3519,Pending
CL-99054,30/03/2024,HO-8590,In Progress
CL-9918,02/05/2024,UI-25013,Completed
CL-52122,06/04/2024,SB-565499,Rejected
CL-5245,22/06/2024,GY-49896,Pending
CL-42030,10/08/2024,TP-15186,In Progress
CL-59394,21/04/2024,NY-8710,Completed
CL-77491,07/11/2024,TB-79965,Rejected
CL-74967,02/01/2024,GR-5145,In Progress
CL-5057,12/01/2024,TM-57068,In Progress
CL-86593,30/08/2024,UE-3723,Rejected
CL-43698,20/02/2024,ZY-51228,Rejected
CL-36273,02/06/2024,KE-926667,Pending
CL-48279,19/09/2024,JG-36757,In Progress
CL-31361,16/09/2024,QV-834522,Rejected
CL-1787,20/03/2024,QD-2156,In Progress
CL-58798,11/01/2024,UE-76583,In Progress
CL-40335,04/09/2024,ZW-5345,Rejected
CL-20215,14/05/2024,GJ-518482,Pending
CL-67997,03/07/2024,LL-84505,Rejected
CL-8892,11/10/2024,EL-57093,Pending
CL-33059,24/01/2024,VG-0380,Pending
CL-52190,22/10/2024,HN-05927,In Progress
CL-28359,14/09/2024,TZ-3620,Rejected
CL-5788,11/07/2024,CG-7562,Rejected
CL-6275,03/11/2024,BA-1480,Rejected
CL-40829,25/05/2024,SH-47140,Rejected
CL-66411,01/07/2024,YM-951356,Pending
CL-4602,26/09/2024,GP-9720,Completed
CL-21439,21/03/2024,BW-4357,In Progress
CL-56512,16/10/2024,PQ-92670,Rejected
CL-5802,13/10/2024,KJ-03018,Completed
CL-3729,08/05/2024,AI-7234,Rejected
CL-81831,22/07/2024,GO-291414,Completed
CL-4706,16/04/2024,RT-910382,Rejected
CL-31671,01/05/2024,EX-81627,Rejected
CL-25672,18/01/2024,MD-921300,Rejected
CL-62139,30/09/2024,HG-26739,Pending
CL-49470,17/10/2024,BQ-75895,In Progress
CL-584,07/07/2024,GI-69447,Completed
CL-5460,07/01/2024,EO-682140,Pending
CL-68779,14/06/2024,HH-7987,In Progress
CL-70237,07/11/2024,LF-2039,Completed
CL-25538,19/01/2024,YR-88605,Rejected
CL-37202,25/09/2024,SA-07786,In Progress
CL-24865,05/02/2024,YS-09530,Completed
CL-96762,15/02/2024,TR-74348,Completed
CL-36437,12/07/2024,HA-7511,In Progress
CL-7592,14/01/2024,FE-9365,Completed
CL-22297,27/04/2024,EG-250831,Rejected
CL-24823,07/03/2024,MB-00191,In Progress
CL-1533,15/08/2024,CI-87843,In Progress
CL-5310,21/08/2024,ON-755437,Rejected
CL-39123,08/04/2024,FX-0045,Pending
CL-55971,13/10/2024,OO-076198,Pending
CL-2215,30/04/2024,NO-122079,In Progress
CL-80839,04/04/2024,UX-6241,Completed
CL-31162,25/10/2024,JZ-138192,In Progress
CL-49218,20/07/2024,DL-8464,Completed
CL-72228,27/03/2024,GX-701118,Completed
CL-61170,03/01/2024,WA-24339,Completed
CL-26942,02/07/2024,UV-0892,Pending
CL-6757,01/07/2024,GW-068111,Pending
CL-56566,30/06/2024,LS-1813,In Progress
CL-18273,15/09/2024,CI-3677,Rejected
CL-48114,14/05/2024,HL-42164,In Progress
CL-52194,24/06/2024,RB-49768,Pending
CL-90548,27/04/2024,KK-69900,Rejected
CL-70593,26/07/2024,IS-0966,In Progress
CL-5849,12/08/2024,MP-60141,In Progress
CL-66188,07/01/2024,ZT-56191,Rejected
CL-75320,21/10/2024,JR-831258,Rejected
CL-46203,02/03/2024,VJ-128923,In Progress
CL-5934,10/09/2024,PL-050131,Rejected
CL-15650,19/05/2024,EW-0462,In Progress
CL-3938,07/09/2024,HE-086028,In Progress
CL-471,08/10/2024,YZ-3498,Completed
CL-2156,01/05/2024,DU-872388,Pending
CL-52786,05/04/2024,AO-491860,In Progress
CL-92795,27/02/2024,FE-02107,Pending
CL-44005,15/09/2024,XL-375829,Pending
CL-29161,22/10/2024,BM-82380,Rejected
CL-9835,05/11/2024,TI-04890,Completed
CL-60248,28/10/2024,EC-327955,In Progress
CL-29894,08/03/2024,GU-56433,Pending
CL-39943,24/06/2024,OU-92466,Rejected
CL-1399,04/01/2024,UF-94167,Rejected
CL-45614,04/02/2024,UG-93635,In Progress
CL-9322,26/03/2024,AN-148392,Pending
CL-9884,15/05/2024,FL-63687,Pending
CL-7192,01/03/2024,GA-32506,Completed
CL-4756,12/01/2024,JD-700233,Completed
CL-48413,14/02/2024,JI-00021,Completed
CL-86380,18/10/2024,UM-625269,Completed
CL-56949,20/08/2024,MJ-8161,Pending
CL-5182,24/03/2024,GV-53568,Completed
CL-35988,27/07/2024,FR-220082,Rejected
CL-7635,08/11/2024,RW-113750,Completed
CL-16221,11/05/2024,LP-966198,In Progress
CL-2766,10/04/2024,NX-48897,Completed
CL-35559,21/09/2024,NI-54145,Completed
CL-81012,02/05/2024,QU-9848,In Progress
CL-8954,01/05/2024,VT-75122,Completed
CL-89144,17/02/2024,FT-611396,Completed
CL-819,15/05/2024,MM-39005,Completed
CL-26358,02/05/2024,ZT-1154,Pending
CL-85980,21/06/2024,RR-208941,Pending
CL-35815,04/03/2024,SK-8008,In Progress
CL-44539,27/08/2024,VY-605351,Rejected
CL-57623,02/02/2024,PV-77643,In Progress
CL-74593,22/03/2024,YK-3109,In Progress
CL-48678,01/09/2024,UH-047587,Completed
CL-6967,12/09/2024,FX-50792,Completed
CL-7766,29/04/2024,GE-873447,Completed
CL-9719,14/03/2024,YY-771079,In Progress
CL-6901,30/05/2024,RF-02632,Pending
CL-6794,11/03/2024,BF-6481,In Progress
CL-1647,23/06/2024,PX-457326,Completed
CL-1480,27/06/2024,NT-6881,Completed
CL-9386,27/04/2024,HV-770241,Rejected
CL-1948,02/07/2024,II-874183,Rejected
CL-24462,18/01/2024,AU-30723,Completed
CL-7227,18/08/2024,YV-10606,Completed
CL-79703,05/02/2024,JR-2017,Rejected
CL-52409,11/03/2024,VV-09440,Pending
CL-53217,09/02/2024,NU-15055,Rejected
CL-6660,15/02/2024,YC-9789,Pending
CL-86885,30/05/2024,IY-73640,Completed
CL-8754,15/07/2024,EJ-3083,In Progress
CL-14444,14/04/2024,GV-17390,In Progress
CL-99665,10/10/2024,SN-705087,Pending
CL-98207,29/04/2024,OK-7533,Rejected
CL-80583,27/04/2024,JH-5678,Rejected
CL-9279,30/01/2024,CU-618476,Rejected
CL-80449,15/03/2024,LS-0655,Pending
CL-63892,10/03/2024,IN-98266,Completed
CL-64091,02/07/2024,PR-75791,Pending
CL-64589,13/05/2024,KB-435834,Pending
CL-62588,20/10/2024,XC-68646,Pending
CL-66790,25/02/2024,IQ-720152,In Progress
CL-35487,11/08/2024,GL-80904,In Progress
CL-26309,31/07/2024,JO-20802,In Progress
CL-94296,18/03/2024,FC-5524,In Progress
CL-84204,03/01/2024,BJ-72837,Pending
CL-44733,27/05/2024,GL-9870,Pending
CL-1817,14/06/2024,OY-4033,Pending
CL-72385,29/01/2024,IB-7923,Completed
CL-5909,17/02/2024,BI-61034,Completed
CL-25916,19/02/2024,HS-3726,Rejected
CL-66850,26/06/2024,QL-4500,Rejected
CL-85875,28/02/2024,UH-75605,Completed
CL-22032,24/04/2024,OQ-75838,Completed
CL-90037,30/05/2024,KT-133535,In Progress
CL-7245,30/10/2024,GN-433450,Pending
CL-9493,12/05/2024,JN-13267,Completed
CL-50449,10/03/2024,WT-3367,Rejected
CL-77479,11/01/2024,MG-35242,In Progress
CL-7542,10/11/2024,GR-7746,Rejected
CL-75621,13/05/2024,UP-883461,Rejected
CL-4708,15/05/2024,SL-094101,In Progress
CL-7452,27/09/2024,IJ-434191,Completed
CL-1674,23/09/2024,JB-778180,Pending
CL-22939,12/11/2024,QF-433293,Pending
CL-71020,18/02/2024,XZ-7619,Rejected
CL-62166,28/10/2024,ZC-1109,Completed
CL-74642,27/02/2024,WH-65621,In Progress
CL-3912,28/08/2024,AM-7799,Pending
CL-16198,18/01/2024,XB-036075,Pending
CL-3452,04/06/2024,WL-6767,Pending
CL-5699,26/04/2024,OL-0639,Rejected
CL-90781,26/01/2024,GA-8183,In Progress
CL-52752,02/02/2024,TD-7777,Rejected
